Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,3,2699,2702,Patheingyi,MMR010007
 Rural,2391,47897,50288,Patheingyi,MMR010007
 Total,2394,50596,52990,Patheingyi,MMR010007
