Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,2649,2649,Hsihseng,MMR014004
 Rural,414,29708,30122,Hsihseng,MMR014004
 Total,414,32357,32771,Hsihseng,MMR014004
