Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,15,38792,38807,Mayangon,MMR013042
 Total,15,38792,38807,Mayangon,MMR013042
