Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,1560,1561,Minesat,MMR016006
 Rural,11,14337,14348,Minesat,MMR016006
 Total,12,15897,15909,Minesat,MMR016006
