Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,130,7453,7583,Mawlamyinegyun,MMR017018
 Rural,17149,50154,67303,Mawlamyinegyun,MMR017018
 Total,17279,57607,74886,Mawlamyinegyun,MMR017018
