Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,5,6127,6132,Namkham,MMR015010
 Rural,15,15270,15285,Namkham,MMR015010
 Total,20,21397,21417,Namkham,MMR015010
