Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Rural,-,1107,1107,Meisi,MMR002007
 Total,-,1302,1302,Meisi,MMR002007
 Urban,4,288,292,Ywathit(ST),MMR002005
 Rural,16,184,200,Ywathit(ST),MMR002005
 Total,20,472,492,Ywathit(ST),MMR002005
 Urban,339,14429,14768,Hpa-an,MMR003001
 Rural,3596,70833,74429,Hpa-an,MMR003001
 Total,3935,85262,89197,Hpa-an,MMR003001
 Urban,124,2155,2279,Hlaingbwe,MMR003002
 Rural,453,28854,29307,Hlaingbwe,MMR003002
 Total,577,31009,31586,Hlaingbwe,MMR003002
 Urban,-,3062,3062,Thandaunggyi,MMR003004
 Rural,-,2747,2747,Thandaunggyi,MMR003004
 Total,-,5809,5809,Thandaunggyi,MMR003004
 Urban,1,806,807,Paingkyon(ST),MMR003002
 Rural,694,16277,16971,Paingkyon(ST),MMR003002
 Total,695,17083,17778,Paingkyon(ST),MMR003002
 Urban,-,83,83,Shan Ywathit(ST),MMR003002
 Rural,2,3671,3673,Shan Ywathit(ST),MMR003002
 Total,2,3754,3756,Shan Ywathit(ST),MMR003002
 Urban,-,607,607,Leiktho(ST),MMR003004
 Rural,-,9319,9319,Leiktho(ST),MMR003004
 Total,-,9926,9926,Leiktho(ST),MMR003004
 Urban,-,436,436,Bawgali(ST),MMR003004
 Rural,2,2967,2969,Bawgali(ST),MMR003004
 Total,2,3403,3405,Bawgali(ST),MMR003004
 Urban,10,623,633,Pharpon,MMR003003
 Rural,19,1892,1911,Pharpon,MMR003003
 Total,29,2515,2544,Pharpon,MMR003003
 Urban,52,2697,2749,Kamamaung(ST},MMR003003
 Rural,7,1202,1209,Kamamaung(ST},MMR003003
 Total,59,3899,3958,Kamamaung(ST},MMR003003
 Urban,12,24004,24016,Myawady,MMR003005
 Rural,39,17203,17242,Myawady,MMR003005
 Total,51,41207,41258,Myawady,MMR003005
 Urban,-,75,75,Sugali(ST),MMR003005
 Rural,2,984,986,Sugali(ST),MMR003005
 Total,2,1059,1061,Sugali(ST),MMR003005
 Urban,1,576,577,Wawlaymyaing(ST),MMR003005
 Rural,1,1119,1120,Wawlaymyaing(ST),MMR003005
 Total,2,1695,1697,Wawlaymyaing(ST),MMR003005
 Urban,185,8297,8482,Kawkareik,MMR003006
 Rural,1855,35161,37016,Kawkareik,MMR003006
 Total,2040,43458,45498,Kawkareik,MMR003006
 Urban,60,1757,1817,Kyarinseikkyi,MMR003007
 Rural,1120,19103,20223,Kyarinseikkyi,MMR003007
 Total,1180,20860,22040,Kyarinseikkyi,MMR003007
 Urban,2,6094,6096,Payarthonezu(ST),MMR003007
 Rural,21,11678,11699,Payarthonezu(ST),MMR003007
 Total,23,17772,17795,Payarthonezu(ST),MMR003007
 Urban,39,641,680,Kyaidon(ST),MMR003007
 Rural,80,9973,10053,Kyaidon(ST),MMR003007
 Total,119,10614,10733,Kyaidon(ST),MMR003007
 Urban,1,5220,5221,HaKa,MMR004002
 Rural,4,4692,4696,HaKa,MMR004002
 Total,5,9912,9917,HaKa,MMR004002
 Urban,4,1503,1507,Thantlang,MMR004003
 Rural,28,8247,8275,Thantlang,MMR004003
 Total,32,9750,9782,Thantlang,MMR004003
 Urban,2,2000,2002,Falam,MMR004001
 Rural,9,6417,6426,Falam,MMR004001
 Total,11,8417,8428,Falam,MMR004001
 Urban,1,2249,2250,Tedim,MMR004004
 Rural,28,12405,12433,Tedim,MMR004004
 Total,29,14654,14683,Tedim,MMR004004
 Urban,-,640,640,Tonzaung,MMR004005
 Rural,1,2770,2771,Tonzaung,MMR004005
 Total,1,3410,3411,Tonzaung,MMR004005
 Urban,-,670,670,Rihkhuadal(ST),MMR004001
 Rural,-,528,528,Rihkhuadal(ST),MMR004001
 Total,-,1198,1198,Rihkhuadal(ST),MMR004001
 Urban,-,215,215,Cikha(ST),MMR004005
 Rural,-,1315,1315,Cikha(ST),MMR004005
 Total,-,1530,1530,Cikha(ST),MMR004005
 Urban,-,2343,2343,Mindat,MMR004006
 Rural,-,6179,6179,Mindat,MMR004006
 Total,-,8522,8522,Mindat,MMR004006
 Urban,1,1669,1670,Matupi,MMR004007
 Rural,5,5961,5966,Matupi,MMR004007
 Total,6,7630,7636,Matupi,MMR004007
 Urban,-,807,807,Kanpalet,MMR004008
 Rural,3,3167,3170,Kanpalet,MMR004008
 Total,3,3974,3977,Kanpalet,MMR004008
 Urban,64,1286,1350,Paletwat,MMR004009
 Rural,344,11599,11943,Paletwat,MMR004009
 Total,408,12885,13293,Paletwat,MMR004009
 Urban,-,462,462,Reazu(ST),MMR004007
 Rural,1,2058,2059,Reazu(ST),MMR004007
 Total,1,2520,2521,Reazu(ST),MMR004007
 Urban,10,623,633,Sami(ST),MMR004009
 Rural,105,5485,5590,Sami(ST),MMR004009
 Total,115,6108,6223,Sami(ST),MMR004009
 Urban,71,16425,16496,Sagaing,MMR005001
 Rural,1967,46680,48647,Sagaing,MMR005001
 Total,2038,63105,65143,Sagaing,MMR005001
 Urban,18,3613,3631,Myinmu,MMR005002
 Rural,368,21305,21673,Myinmu,MMR005002
 Total,386,24918,25304,Myinmu,MMR005002
 Urban,13,1940,1953,Myaung,MMR005003
 Rural,2131,20178,22309,Myaung,MMR005003
 Total,2144,22118,24262,Myaung,MMR005003
 Urban,54,13477,13531,Shwebo,MMR005004
 Rural,113,36603,36716,Shwebo,MMR005004
 Total,167,50080,50247,Shwebo,MMR005004
 Urban,2,2289,2291,Khin U,MMR005005
 Rural,94,30239,30333,Khin U,MMR005005
 Total,96,32528,32624,Khin U,MMR005005
 Urban,-,2306,2306,Wetlet,MMR005006
 Rural,418,43988,44406,Wetlet,MMR005006
 Total,418,46294,46712,Wetlet,MMR005006
 Urban,2,5181,5183,Kambalu,MMR005007
 Rural,230,55913,56143,Kambalu,MMR005007
 Total,232,61094,61326,Kambalu,MMR005007
 Urban,4,2495,2499,Kyunhlau,MMR005008
 Rural,786,17578,18364,Kyunhlau,MMR005008
 Total,790,20073,20863,Kyunhlau,MMR005008
 Urban,1,3964,3965,Ye U,MMR005009
 Rural,29,22379,22408,Ye U,MMR005009
 Total,30,26343,26373,Ye U,MMR005009
 Urban,1,954,955,Depayin,MMR005010
 Rural,19,29371,29390,Depayin,MMR005010
 Total,20,30325,30345,Depayin,MMR005010
 Urban,1,2971,2972,Tasei,MMR005011
 Rural,113,32852,32965,Tasei,MMR005011
 Total,114,35823,35937,Tasei,MMR005011
 Urban,55,2251,2306,Kyaukmyaung(ST),MMR005004
 Rural,147,4597,4744,Kyaukmyaung(ST),MMR005004
 Total,202,6848,7050,Kyaukmyaung(ST),MMR005004
 Urban,106,40300,40406,Monywa,MMR005012
 Rural,850,34706,35556,Monywa,MMR005012
 Total,956,75006,75962,Monywa,MMR005012
 Urban,-,1193,1193,Butalin,MMR005013
 Rural,116,27307,27423,Butalin,MMR005013
 Total,116,28500,28616,Butalin,MMR005013
 Urban,4,2151,2155,Ayartaw,MMR005014
 Rural,54,33382,33436,Ayartaw,MMR005014
 Total,58,35533,35591,Ayartaw,MMR005014
 Urban,43,5038,5081,Chaung Oo,MMR005015
 Rural,294,18001,18295,Chaung Oo,MMR005015
 Total,337,23039,23376,Chaung Oo,MMR005015
 Urban,146,5117,5263,Katha,MMR005020
 Rural,6328,20370,26698,Katha,MMR005020
 Total,6474,25487,31961,Katha,MMR005020
 Urban,3,1839,1842,Indaw,MMR005021
 Rural,508,20880,21388,Indaw,MMR005021
 Total,511,22719,23230,Indaw,MMR005021
 Urban,254,2816,3070,Tigyaing,MMR005022
 Rural,4144,19175,23319,Tigyaing,MMR005022
 Total,4398,21991,26389,Tigyaing,MMR005022
 Urban,-,1212,1212,Banmauk,MMR005023
 Rural,28,17628,17656,Banmauk,MMR005023
 Total,28,18840,18868,Banmauk,MMR005023
 Urban,2,4567,4569,Kawlin,MMR005024
 Rural,483,26351,26834,Kawlin,MMR005024
 Total,485,30918,31403,Kawlin,MMR005024
 Urban,-,2590,2590,Wuntho,MMR005025
 Rural,5,11610,11615,Wuntho,MMR005025
 Total,5,14200,14205,Wuntho,MMR005025
 Urban,2,1467,1469,Pinlebu,MMR005026
 Rural,11,20420,20431,Pinlebu,MMR005026
 Total,13,21887,21900,Pinlebu,MMR005026
 Urban,48,25673,25721,Kalay,MMR014005
 Rural,837,46211,47048,Kalay,MMR014005
 Total,885,71884,72769,Kalay,MMR014005
 Urban,51,1902,1953,Kalewa,MMR005028
 Rural,1803,7979,9782,Kalewa,MMR005028
 Total,1854,9881,11735,Kalewa,MMR005028
 Urban,125,711,836,Mingin,MMR005029
 Rural,1866,19356,21222,Mingin,MMR005029
 Total,1991,20067,22058,Mingin,MMR005029
 Urban,15,8974,8989,Tamu,MMR005030
 Rural,164,2833,2997,Tamu,MMR005030
 Total,179,11807,11986,Tamu,MMR005030
 Urban,2,306,308,Myothit(ST),MMR005030
 Rural,17,2772,2789,Myothit(ST),MMR005030
 Total,19,3078,3097,Myothit(ST),MMR005030
 Urban,-,2838,2838,Khampat(ST),MMR005030
 Rural,78,4592,4670,Khampat(ST),MMR005030
 Total,78,7430,7508,Khampat(ST),MMR005030
 Urban,313,1511,1824,Mawlaik,MMR005031
 Rural,1329,7192,8521,Mawlaik,MMR005031
 Total,1642,8703,10345,Mawlaik,MMR005031
 Urban,524,1418,1942,Phaungpyin,MMR005032
 Rural,2420,15884,18304,Phaungpyin,MMR005032
 Total,2944,17302,20246,Phaungpyin,MMR005032
 Urban,191,1992,2183,Hkamti,MMR005033
 Rural,593,4585,5178,Hkamti,MMR005033
 Total,784,6577,7361,Hkamti,MMR005033
 Urban,319,3256,3575,Homalin,MMR005034
 Rural,5971,26197,32168,Homalin,MMR005034
 Total,6290,29453,35743,Homalin,MMR005034
 Urban,3,250,253,Leshi,MMR005035
 Rural,19,1384,1403,Leshi,MMR005035
 Total,22,1634,1656,Leshi,MMR005035
 Urban,-,538,538,Lahe,MMR005036
 Rural,1,6438,6439,Lahe,MMR005036
 Total,1,6976,6977,Lahe,MMR005036
 Urban,1,374,375,Nanyun,MMR005037
 Rural,3,1190,1193,Nanyun,MMR005037
 Total,4,1564,1568,Nanyun,MMR005037
 Urban,23,187,210,Mobaingluk(ST),MMR005035
 Rural,3,97,100,Mobaingluk(ST),MMR005035
 Total,26,284,310,Mobaingluk(ST),MMR005035
 Urban,-,286,286,Sonemara(ST),MMR005035
 Rural,-,908,908,Sonemara(ST),MMR005035
 Total,-,1194,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,-,338,338,Pansaung(ST),MMR005037
 Rural,6,2005,2011,Pansaung(ST),MMR005037
 Total,6,2343,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,1,3753,3754,Donhee(ST),MMR005037
 Total,1,3922,3923,Donhee(ST),MMR005037
 Urban,-,1077,1077,Yinmarpin,MMR005016
 Rural,332,28123,28455,Yinmarpin,MMR005016
 Total,332,29200,29532,Yinmarpin,MMR005016
 Urban,-,1222,1222,Salingyi,MMR005018
 Rural,632,24613,25245,Salingyi,MMR005018
 Total,632,25835,26467,Salingyi,MMR005018
 Urban,-,931,931,Palae,MMR005019
 Rural,82,31349,31431,Palae,MMR005019
 Total,82,32280,32362,Palae,MMR005019
 Urban,73,1065,1138,Kani,MMR005017
 Rural,993,27092,28085,Kani,MMR005017
 Total,1066,28157,29223,Kani,MMR005017
 Urban,118,15264,15382,Dawei,MMR006001
 Rural,260,9301,9561,Dawei,MMR006001
 Total,378,24565,24943,Dawei,MMR006001
 Urban,5,1235,1240,Lounglon,MMR006002
 Rural,190,24305,24495,Lounglon,MMR006002
 Total,195,25540,25735,Lounglon,MMR006002
 Urban,4,2403,2407,Thayetchaung,MMR006003
 Rural,382,20085,20467,Thayetchaung,MMR006003
 Total,386,22488,22874,Thayetchaung,MMR006003
 Urban,7,1070,1077,Yebyu,MMR006004
 Rural,206,20790,20996,Yebyu,MMR006004
 Total,213,21860,22073,Yebyu,MMR006004
 Urban,16,480,496,Myitta(ST),MMR006001
 Rural,19,3675,3694,Myitta(ST),MMR006001
 Total,35,4155,4190,Myitta(ST),MMR006001
 Urban,9,615,624,Kaleinaung(ST),MMR006004
 Rural,16,3637,3653,Kaleinaung(ST),MMR006004
 Total,25,4252,4277,Kaleinaung(ST),MMR006004
 Urban,256,21292,21548,Myeik,MMR006005
 Rural,966,31835,32801,Myeik,MMR006005
 Total,1222,53127,54349,Myeik,MMR006005
 Urban,18,1124,1142,Kyunsu,MMR006006
 Rural,2500,29346,31846,Kyunsu,MMR006006
 Total,2518,30470,32988,Kyunsu,MMR006006
 Urban,63,3508,3571,Palaw,MMR006007
 Rural,386,14568,14954,Palaw,MMR006007
 Total,449,18076,18525,Palaw,MMR006007
 Urban,220,906,1126,Tanintharyi,MMR006008
 Rural,1037,17766,18803,Tanintharyi,MMR006008
 Total,1257,18672,19929,Tanintharyi,MMR006008
 Urban,17,1194,1211,Palauk(ST),MMR006007
 Rural,194,5723,5917,Palauk(ST),MMR006007
 Total,211,6917,7128,Palauk(ST),MMR006007
 Urban,203,12377,12580,Kawthoung,MMR006009
 Rural,590,12311,12901,Kawthoung,MMR006009
 Total,793,24688,25481,Kawthoung,MMR006009
 Urban,37,1010,1047,Bokepyin,MMR006010
 Rural,478,7351,7829,Bokepyin,MMR006010
 Total,515,8361,8876,Bokepyin,MMR006010
 Urban,64,2291,2355,Khamaukgyi,MMR006009
 Rural,133,2377,2510,Khamaukgyi,MMR006009
 Total,197,4668,4865,Khamaukgyi,MMR006009
 Urban,25,690,715,Pyigyimandaing,MMR006010
 Rural,126,2263,2389,Pyigyimandaing,MMR006010
 Total,151,2953,3104,Pyigyimandaing,MMR006010
 Urban,1,285,286,Karathuri(ST),MMR006010
 Rural,464,3012,3476,Karathuri(ST),MMR006010
 Total,465,3297,3762,Karathuri(ST),MMR006010
 Urban,411,54481,54892,Bago,MMR007001
 Rural,1567,50673,52240,Bago,MMR007001
 Total,1978,105154,107132,Bago,MMR007001
 Urban,188,3441,3629,Tanatpin,MMR007002
 Rural,4484,24414,28898,Tanatpin,MMR007002
 Total,4672,27855,32527,Tanatpin,MMR007002
 Urban,47,4207,4254,Kawa,MMR007003
 Rural,3290,38531,41821,Kawa,MMR007003
 Total,3337,42738,46075,Kawa,MMR007003
 Urban,96,4950,5046,Waw,MMR007004
 Rural,3849,28188,32037,Waw,MMR007004
 Total,3945,33138,37083,Waw,MMR007004
 Urban,431,12631,13062,Nyaunglebin,MMR007005
 Rural,1891,29809,31700,Nyaunglebin,MMR007005
 Total,2322,42440,44762,Nyaunglebin,MMR007005
 Urban,1,6872,6873,Kyauktaga,MMR007006
 Rural,459,44316,44775,Kyauktaga,MMR007006
 Total,460,51188,51648,Kyauktaga,MMR007006
 Urban,94,8646,8740,Daik U,MMR007007
 Rural,2811,34202,37013,Daik U,MMR007007
 Total,2905,42848,45753,Daik U,MMR007007
 Urban,256,4609,4865,Shwegyin,MMR007008
 Rural,1758,15159,16917,Shwegyin,MMR007008
 Total,2014,19768,21782,Shwegyin,MMR007008
 Urban,43,21857,21900,Toungoo,MMR007009
 Rural,301,35259,35560,Toungoo,MMR007009
 Total,344,57116,57460,Toungoo,MMR007009
 Urban,-,5955,5955,Yaedashe,MMR007010
 Rural,320,44252,44572,Yaedashe,MMR007010
 Total,320,50207,50527,Yaedashe,MMR007010
 Urban,38,2220,2258,Kyaukkyi,MMR007011
 Rural,919,19706,20625,Kyaukkyi,MMR007011
 Total,957,21926,22883,Kyaukkyi,MMR007011
 Urban,33,13794,13827,Pyu,MMR007012
 Rural,807,40297,41104,Pyu,MMR007012
 Total,840,54091,54931,Pyu,MMR007012
 Urban,7,3202,3209,Oatwin,MMR007013
 Rural,312,33349,33661,Oatwin,MMR007013
 Total,319,36551,36870,Oatwin,MMR007013
 Urban,14,2362,2376,Htantapin,MMR007014
 Rural,237,24168,24405,Htantapin,MMR007014
 Total,251,26530,26781,Htantapin,MMR007014
 Urban,53,28762,28815,Pyay,MMR008001
 Rural,159,29583,29742,Pyay,MMR008001
 Total,212,58345,58557,Pyay,MMR008001
 Urban,1,3605,3606,Paukkhaung,MMR008002
 Rural,1011,27730,28741,Paukkhaung,MMR008002
 Total,1012,31335,32347,Paukkhaung,MMR008002
 Urban,44,4424,4468,Padaung,MMR008003
 Rural,843,33581,34424,Padaung,MMR008003
 Total,887,38005,38892,Padaung,MMR008003
 Urban,1,6480,6481,Paunde,MMR008004
 Rural,427,29792,30219,Paunde,MMR008004
 Total,428,36272,36700,Paunde,MMR008004
 Urban,9,4257,4266,Thegon,MMR008005
 Rural,1064,30620,31684,Thegon,MMR008005
 Total,1073,34877,35950,Thegon,MMR008005
 Urban,13,4505,4518,Shwedaung,MMR008006
 Rural,1196,27850,29046,Shwedaung,MMR008006
 Total,1209,32355,33564,Shwedaung,MMR008006
 Urban,4,8160,8164,Tharyarwaddy,MMR008007
 Rural,2578,25884,28462,Tharyarwaddy,MMR008007
 Total,2582,34044,36626,Tharyarwaddy,MMR008007
 Urban,22,5713,5735,Letpadan,MMR008008
 Rural,2762,34987,37749,Letpadan,MMR008008
 Total,2784,40700,43484,Letpadan,MMR008008
 Urban,3,2699,2702,Minhla,MMR009013
 Rural,1025,27167,28192,Minhla,MMR009013
 Total,1028,29866,30894,Minhla,MMR009013
 Urban,1,2799,2800,Okpo,MMR008010
 Rural,504,28590,29094,Okpo,MMR008010
 Total,505,31389,31894,Okpo,MMR008010
 Urban,3,3964,3967,Zigon,MMR008011
 Rural,67,14176,14243,Zigon,MMR008011
 Total,70,18140,18210,Zigon,MMR008011
 Urban,1,4641,4642,Nattalin,MMR008012
 Rural,982,40145,41127,Nattalin,MMR008012
 Total,983,44786,45769,Nattalin,MMR008012
 Urban,3,2377,2380,Monyo,MMR008013
 Rural,6148,24759,30907,Monyo,MMR008013
 Total,6151,27136,33287,Monyo,MMR008013
 Urban,-,5584,5584,Gyobingauk,MMR008014
 Rural,394,24608,25002,Gyobingauk,MMR008014
 Total,394,30192,30586,Gyobingauk,MMR008014
 Urban,9,19861,19870,Magway,MMR009001
 Rural,222,48585,48807,Magway,MMR009001
 Total,231,68446,68677,Magway,MMR009001
 Urban,24,10652,10676,Yenangyoung,MMR009002
 Rural,501,21323,21824,Yenangyoung,MMR009002
 Total,525,31975,32500,Yenangyoung,MMR009002
 Urban,23,10378,10401,Chauk,MMR009003
 Rural,357,33860,34217,Chauk,MMR009003
 Total,380,44238,44618,Chauk,MMR009003
 Urban,7,10048,10055,Taungdwingyi,MMR009004
 Rural,23,50185,50208,Taungdwingyi,MMR009004
 Total,30,60233,60263,Taungdwingyi,MMR009004
 Urban,-,1746,1746,Myothit,MMR009005
 Rural,69,35133,35202,Myothit,MMR009005
 Total,69,36879,36948,Myothit,MMR009005
 Urban,1,3173,3174,Natmauk,MMR009006
 Rural,36,45216,45252,Natmauk,MMR009006
 Total,37,48389,48426,Natmauk,MMR009006
 Urban,39,9151,9190,Minbu,MMR009007
 Rural,234,34393,34627,Minbu,MMR009007
 Total,273,43544,43817,Minbu,MMR009007
 Urban,6,1448,1454,Pwint Phyu,MMR009008
 Rural,490,37820,38310,Pwint Phyu,MMR009008
 Total,496,39268,39764,Pwint Phyu,MMR009008
 Urban,-,979,979,Ngape,MMR009009
 Rural,12,11466,11478,Ngape,MMR009009
 Total,12,12445,12457,Ngape,MMR009009
 Urban,-,2786,2786,Salin,MMR009010
 Rural,1056,51763,52819,Salin,MMR009010
 Total,1056,54549,55605,Salin,MMR009010
 Urban,16,1509,1525,Saytottara,MMR009011
 Rural,334,8921,9255,Saytottara,MMR009011
 Total,350,10430,10780,Saytottara,MMR009011
 Urban,6,4557,4563,Thayet,MMR009012
 Rural,226,21183,21409,Thayet,MMR009012
 Total,232,25740,25972,Thayet,MMR009012
 Urban,63,2918,2981,Minhla,MMR009013
 Rural,41,28600,28641,Minhla,MMR009013
 Total,104,31518,31622,Minhla,MMR009013
 Urban,3,1267,1270,Mindon,MMR009014
 Rural,33,15506,15539,Mindon,MMR009014
 Total,36,16773,16809,Mindon,MMR009014
 Urban,68,1226,1294,Kamma,MMR009015
 Rural,226,17623,17849,Kamma,MMR009015
 Total,294,18849,19143,Kamma,MMR009015
 Urban,68,11557,11625,Aunglan,MMR009016
 Rural,219,45765,45984,Aunglan,MMR009016
 Total,287,57322,57609,Aunglan,MMR009016
 Urban,82,1199,1281,Sinpaungwe`,MMR009017
 Rural,129,27274,27403,Sinpaungwe`,MMR009017
 Total,211,28473,28684,Sinpaungwe`,MMR009017
 Urban,126,18943,19069,Pakokku,MMR009018
 Rural,2976,44295,47271,Pakokku,MMR009018
 Total,3102,63238,66340,Pakokku,MMR009018
 Urban,97,4802,4899,Yesagyo,MMR009019
 Rural,4249,38184,42433,Yesagyo,MMR009019
 Total,4346,42986,47332,Yesagyo,MMR009019
 Urban,-,1801,1801,Myaing,MMR009020
 Rural,18,51822,51840,Myaing,MMR009020
 Total,18,53623,53641,Myaing,MMR009020
 Urban,1,1700,1701,Pauk,MMR009021
 Rural,12,37252,37264,Pauk,MMR009021
 Total,13,38952,38965,Pauk,MMR009021
 Urban,10,2119,2129,Seikphyu,MMR009022
 Rural,86,21212,21298,Seikphyu,MMR009022
 Total,96,23331,23427,Seikphyu,MMR009022
 Urban,9,3249,3258,Gangaw,MMR009023
 Rural,93,26561,26654,Gangaw,MMR009023
 Total,102,29810,29912,Gangaw,MMR009023
 Urban,-,1123,1123,Htilin,MMR009024
 Rural,1,9408,9409,Htilin,MMR009024
 Total,1,10531,10532,Htilin,MMR009024
 Urban,2,1259,1261,Saw,MMR009025
 Rural,4,7060,7064,Saw,MMR009025
 Total,6,8319,8325,Saw,MMR009025
 Urban,-,1140,1140,Kyaukhtu(ST),MMR009025
 Rural,-,6469,6469,Kyaukhtu(ST),MMR009025
 Total,-,7609,7609,Kyaukhtu(ST),MMR009025
 Urban,32,49699,49731,Aungmyetharzan,MMR010001
 Total,32,49699,49731,Aungmyetharzan,MMR010001
 Urban,13,33268,33281,Chanayeharzan,MMR010002
