Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,103,41538,41641,Mingaladon,MMR013002
 Rural,71,24591,24662,Mingaladon,MMR013002
 Total,174,66129,66303,Mingaladon,MMR013002
