Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,6,10300,10306,Pazuntaung,MMR013016
 Total,6,10300,10306,Pazuntaung,MMR013016
