Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,9013,9013,Kyaukpadaung,MMR010020
 Rural,246,52702,52948,Kyaukpadaung,MMR010020
 Total,246,61715,61961,Kyaukpadaung,MMR010020
