Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,2765,2766,Yekyi,MMR017006
 Rural,2640,22396,25036,Yekyi,MMR017006
 Total,2641,25161,27802,Yekyi,MMR017006
