Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,158,5891,6049,Myanaung,MMR017011
 Rural,1238,52633,53871,Myanaung,MMR017011
 Total,1396,58524,59920,Myanaung,MMR017011
