Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,156,2518,2674,Kangyidaunt,MMR017002
 Rural,6190,34102,40292,Kangyidaunt,MMR017002
 Total,6346,36620,42966,Kangyidaunt,MMR017002
