Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,25,7853,7878,Khayan,MMR013026
 Rural,609,30827,31436,Khayan,MMR013026
 Total,634,38680,39314,Khayan,MMR013026
