Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,70,5347,5417,Kyaiklatt,MMR017025
 Rural,12254,26077,38331,Kyaiklatt,MMR017025
 Total,12324,31424,43748,Kyaiklatt,MMR017025
