Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,5676,5677,Yatsauk,MMR014008
 Rural,1,20279,20280,Yatsauk,MMR014008
 Total,2,25955,25957,Yatsauk,MMR014008
