Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,1190,1190,Mineyaung,MMR016011
 Rural,10,5129,5139,Mineyaung,MMR016011
 Total,10,6319,6329,Mineyaung,MMR016011
