Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,94,739,833,Ngayokaung(ST),MMR017004
 Rural,220,9148,9368,Ngayokaung(ST),MMR017004
 Total,314,9887,10201,Ngayokaung(ST),MMR017004
