Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,1155,1155,Ywarngan,MMR014007
 Rural,4,17189,17193,Ywarngan,MMR014007
 Total,4,18344,18348,Ywarngan,MMR014007
