Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,60,5840,5900,Nyaungdon,MMR017021
 Rural,8666,36635,45301,Nyaungdon,MMR017021
 Total,8726,42475,51201,Nyaungdon,MMR017021
