Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,48,1494,1542,Kunhing,MMR014014
 Rural,108,2920,3028,Kunhing,MMR014014
 Total,156,4414,4570,Kunhing,MMR014014
