Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,1119,1119,Minetung,MMR016008
 Rural,14,3125,3139,Minetung,MMR016008
 Total,14,4244,4258,Minetung,MMR016008
