Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,5,8486,8491,Kyaukse,MMR010013
 Rural,85,49189,49274,Kyaukse,MMR010013
 Total,90,57675,57765,Kyaukse,MMR010013
