Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,1922,1923,Theinni,MMR015002
 Rural,4,9852,9856,Theinni,MMR015002
 Total,5,11774,11779,Theinni,MMR015002
