Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,493,36948,37441,Pathein,MMR017001
 Rural,3414,25181,28595,Pathein,MMR017001
 Total,3907,62129,66036,Pathein,MMR017001
