Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,979,979,Naungtayar(ST),MMR014009
 Rural,5,15595,15600,Naungtayar(ST),MMR014009
 Total,5,16574,16579,Naungtayar(ST),MMR014009
