Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,158,158,Taungpyoletwe(ST),MMR012009
 Rural,4,344,348,Taungpyoletwe(ST),MMR012009
 Total,4,502,506,Taungpyoletwe(ST),MMR012009
