Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,144,9053,9197,Twantay,MMR013027
 Rural,2850,39555,42405,Twantay,MMR013027
 Total,2994,48608,51602,Twantay,MMR013027
