Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,7,31934,31941,Pyin Oo Lwin,MMR010008
 Rural,16,21425,21441,Pyin Oo Lwin,MMR010008
 Total,23,53359,53382,Pyin Oo Lwin,MMR010008
