Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,872,873,Talay(ST),MMR016009
 Rural,4,3141,3145,Talay(ST),MMR016009
 Total,5,4013,4018,Talay(ST),MMR016009
