Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,48,666,714,Mabane,MMR015018
 Rural,243,7675,7918,Mabane,MMR015018
 Total,291,8341,8632,Mabane,MMR015018
