Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,2,4893,4895,Ottarathiri,MMR018008
 Rural,168,13598,13766,Ottarathiri,MMR018008
 Total,170,18491,18661,Ottarathiri,MMR018008
