Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,41,4213,4254,Kyaukpyu,MMR012011
 Rural,1300,31710,33010,Kyaukpyu,MMR012011
 Total,1341,35923,37264,Kyaukpyu,MMR012011
