Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,841,842,Kehsi,MMR014015
 Rural,2,8057,8059,Kehsi,MMR014015
 Total,3,8898,8901,Kehsi,MMR014015
