Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,45,9819,9864,Kyauktan,MMR013024
 Rural,546,22566,23112,Kyauktan,MMR013024
 Total,591,32385,32976,Kyauktan,MMR013024
