Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,1,1767,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,-,2775,2775,Pansai(KyuKute)(ST),MMR015009
 Total,1,4542,4543,Pansai(KyuKute)(ST),MMR015009
