Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,9,1735,1744,Chaungzon,MMR011003
 Rural,427,25773,26200,Chaungzon,MMR011003
 Total,436,27508,27944,Chaungzon,MMR011003
