Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,8,5934,5942,Hmawby,MMR013003
 Rural,791,49736,50527,Hmawby,MMR013003
 Total,799,55670,56469,Hmawby,MMR013003
