Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,3,2059,2062,Buthidaung,MMR012010
 Rural,102,9100,9202,Buthidaung,MMR012010
 Total,105,11159,11264,Buthidaung,MMR012010
