Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,3,16683,16686,Mogok,MMR010011
 Rural,2,18559,18561,Mogok,MMR010011
 Total,5,35242,35247,Mogok,MMR010011
