Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,44,1171,1215,Maei(ST),MMR012016
 Rural,489,8249,8738,Maei(ST),MMR012016
 Total,533,9420,9953,Maei(ST),MMR012016
