Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,779,779,Manton,MMR015019
 Rural,2,6902,6904,Manton,MMR015019
 Total,2,7681,7683,Manton,MMR015019
