Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,507,507,Minesan(Monsan)(ST),MMR014017
 Rural,3,6156,6159,Minesan(Monsan)(ST),MMR014017
 Total,3,6663,6666,Minesan(Monsan)(ST),MMR014017
