Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,2770,2770,Pinlaung,MMR014009
 Rural,205,22529,22734,Pinlaung,MMR014009
 Total,205,25299,25504,Pinlaung,MMR014009
