Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,116,1677,1793,Tagaung,MMR010012
 Rural,561,5038,5599,Tagaung,MMR010012
 Total,677,6715,7392,Tagaung,MMR010012
