Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,31,45425,45456,Thakayta,MMR013013
 Total,31,45425,45456,Thakayta,MMR013013
