Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,346,346,Manhero(ST),MMR015009
 Rural,16,1281,1297,Manhero(ST),MMR015009
 Total,16,1627,1643,Manhero(ST),MMR015009
