Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,935,935,Namsan(North),MMR015016
 Rural,4,12746,12750,Namsan(North),MMR015016
 Total,4,13681,13685,Namsan(North),MMR015016
