Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,558,558,Minekat,MMR016002
 Rural,8,7459,7467,Minekat,MMR016002
 Total,8,8017,8025,Minekat,MMR016002
