Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,153,9362,9515,Nyaung U,MMR010022
 Rural,473,34674,35147,Nyaung U,MMR010022
 Total,626,44036,44662,Nyaung U,MMR010022
