Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,5,6115,6120,Kyauktada,MMR013033
 Total,5,6115,6120,Kyauktada,MMR013033
