Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,674,674,Homane(ST),MMR014018
 Rural,-,486,486,Homane(ST),MMR014018
 Total,-,1160,1160,Homane(ST),MMR014018
