Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,24,2442,2466,Ponnagyun,MMR012002
 Rural,1280,21589,22869,Ponnagyun,MMR012002
 Total,1304,24031,25335,Ponnagyun,MMR012002
