Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,197,4095,4292,Pantanaw,MMR017020
 Rural,14426,41559,55985,Pantanaw,MMR017020
 Total,14623,45654,60277,Pantanaw,MMR017020
