Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,2,467,469,Panwine,MMR015007
 Rural,19,13481,13500,Panwine,MMR015007
 Total,21,13948,13969,Panwine,MMR015007
