Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,22,9080,9102,Kengtung,MMR016001
 Rural,16,24978,24994,Kengtung,MMR016001
 Total,38,34058,34096,Kengtung,MMR016001
