Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,19,25899,25918,Mingala Taungnyunt,MMR013022
 Total,19,25899,25918,Mingala Taungnyunt,MMR013022
