Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,46,2444,2490,Tada(ST),MMR013024
 Rural,249,6754,7003,Tada(ST),MMR013024
 Total,295,9198,9493,Tada(ST),MMR013024
