Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,23,10683,10706,Thaton,MMR011007
 Rural,915,36663,37578,Thaton,MMR011007
 Total,938,47346,48284,Thaton,MMR011007
