Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,83,16547,16630,Amarapura,MMR010006
 Rural,1872,31124,32996,Amarapura,MMR010006
 Total,1955,47671,49626,Amarapura,MMR010006
