Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,221,6982,7203,Labutta,MMR017016
 Rural,10293,37650,47943,Labutta,MMR017016
 Total,10514,44632,55146,Labutta,MMR017016
