Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,3,10245,10248,Pobbathiri,MMR018005
 Rural,3,17365,17368,Pobbathiri,MMR018005
 Total,6,27610,27616,Pobbathiri,MMR018005
