Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,-,2259,2259,Pindaya,MMR014006
 Rural,3,15282,15285,Pindaya,MMR014006
 Total,3,17541,17544,Pindaya,MMR014006
