Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total,Township,MIMU_code
 Urban,6,2308,2314,Maungtaw,MMR012009
 Rural,34,5042,5076,Maungtaw,MMR012009
 Total,40,7350,7390,Maungtaw,MMR012009
